% of Cr,% of Hf,% of Mo,% of Nb,% of Ta,% of Ti,% of Re,% of V,% of W,% of Zr,% of Co,% of Ni,%Fe,% of Al,% of Mn,%Cu,%C,Entropy,bulk Modulus,shear Modulus,Hardness,Valence,Melting Point
0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,0,0,13.38167152,214,88.2,535.3,5.4,2689.8
0,0,16.6,16.6,16.6,16.6,0,16.8,16.8,0,0,0,0,0,0,0,0,14.89745125,196.82,80.926,504.2,5.168,2520.086
0,0,20,20,20,20,0,20,0,0,0,0,0,0,0,0,0,13.38167152,174,64.8,443,5,2339
20,20,0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,13.38167152,96.22,52,463.99,4.6,2028
25,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,11.52634447,132.5,87,123,4.25,1598.75
0,0,0,20,0,20,0,0,0,20,20,20,0,0,0,0,0,13.38167152,146.22,53.2,527,4.2,1790
0,16.7,0,16.7,0,16.7,0,0,0,16.7,16.7,16.5,0,0,0,0,0,14.89750074,140.1037,49.28,520,4.167,1864.651
0,0,25,25,25,0,0,25,0,0,0,0,0,0,0,0,0,11.52634447,190,70,504,5.25,2506.75
0,0,0,25,25,0,0,25,25,0,0,0,0,0,0,0,0,11.52634447,210,78.75,317,5.25,2706.5
0,0,0,20,20,20,0,20,20,0,0,0,0,0,0,0,0,13.38167152,190,71.8,446,5,2498.8
0,0,0,25,0,25,0,25,0,25,0,0,0,0,0,0,0,11.52634447,132.775,40.5,335,4.5,1977.5
0,0,10,10,40,0,0,10,30,0,0,0,0,0,0,0,0,11.79398241,229,97,702.55,5.4,2934.4
0,0,10,20,30,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,226,93.9,983.91,5.4,2880.4
0,0,10,30,20,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,223,90.8,684.2,5.4,2826.4
0,0,10,30,30,0,0,10,20,0,0,0,0,0,0,0,0,12.51156218,212,81.6,459.8,5.3,2785.9
0,0,10,40,10,0,0,10,30,0,0,0,0,0,0,0,0,11.79398241,220,87.7,693.3,5.4,2772.4
0,0,20,10,30,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,232,102.7,809.6,5.5,2895
0,0,20,10,40,0,0,10,20,0,0,0,0,0,0,0,0,12.22903708,221,93.5,690.3,5.4,2854.5
0,0,20,20,20,0,0,10,30,0,0,0,0,0,0,0,0,12.94661685,229,99.6,831,5.5,2841
0,0,20,20,30,0,0,10,20,0,0,0,0,0,0,0,0,12.94661685,218,90.4,596.5,5.4,2800.5
0,0,20,20,40,0,0,10,10,0,0,0,0,0,0,0,0,12.22903708,207,81.2,321.1,5.3,2760
0,0,20,30,10,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,226,96.5,813.7,5.5,2787
0,0,20,30,20,0,0,10,20,0,0,0,0,0,0,0,0,12.94661685,215,87.3,565.9,5.4,2746.5
0,0,20,30,30,0,0,10,10,0,0,0,0,0,0,0,0,12.51156218,204,78.1,363,5.3,2706
0,0,20,40,20,0,0,10,20,0,0,0,0,0,0,0,0,12.99088701,232,91.1,664.8,5.9,2994.2
0,0,20,40,20,0,0,10,10,0,0,0,0,0,0,0,0,12.22903708,201,75,363.6,5.3,2652
0,0,20,50,10,0,0,10,10,0,0,0,0,0,0,0,0,11.30137355,198,71.9,467,5.3,2598
0,0,30,10,20,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,235,108.4,603.6,5.6,2855.6
0,0,30,10,30,0,0,10,20,0,0,0,0,0,0,0,0,12.51156218,224,99.2,610.7,5.5,2815.1
0,0,30,20,10,0,0,10,30,0,0,0,0,0,0,0,0,12.51156218,232,105.3,657.6,5.6,2801.6
0,0,30,20,20,0,0,10,20,0,0,0,0,0,0,0,0,12.94661685,221,96.1,833,5.5,2761.1
0,0,30,30,10,0,0,10,20,0,0,0,0,0,0,0,0,12.51156218,218,93,734.1,5.5,2707.1
0,0,30,30,20,0,0,10,10,0,0,0,0,0,0,0,0,12.51156218,207,83.8,773.9,5.4,2666.6
0,0,40,10,10,0,0,10,30,0,0,0,0,0,0,0,0,11.79398241,238,114.1,979.9,5.7,2816.2
0,0,40,10,20,0,0,10,20,0,0,0,0,0,0,0,0,12.22903708,227,104.9,686.2,5.6,2775.7
0,0,40,10,30,0,0,10,10,0,0,0,0,0,0,0,0,11.79398241,216,95.7,762.7,5.5,2735.2
0,0,40,20,20,0,0,10,20,0,0,0,0,0,0,0,0,12.99088701,244,108.7,704.5,6.1,3023.4
0,0,40,20,20,0,0,10,10,0,0,0,0,0,0,0,0,12.22903708,213,92.6,832,5.5,2681.2
0,0,10,10,30,0,0,20,30,0,0,0,0,0,0,0,0,12.51156218,225,94.8,838.1,5.4,2823.7
0,0,10,20,20,0,0,20,30,0,0,0,0,0,0,0,0,12.94661685,222,91.7,831,5.4,2769.7
0,0,10,20,30,0,0,20,20,0,0,0,0,0,0,0,0,12.94661685,211,82.5,376.2,5.3,2729.2
0,0,10,30,10,0,0,20,30,0,0,0,0,0,0,0,0,12.51156218,219,88.6,651.5,5.4,2715.7
0,0,10,20,20,0,0,20,30,0,0,0,0,0,0,0,0,12.94661685,222,91.7,679.1,5.4,2769.7
0,0,20,10,30,0,0,20,20,0,0,0,0,0,0,0,0,12.94661685,217,91.3,611.8,5.4,2743.8
0,0,20,20,10,0,0,20,30,0,0,0,0,0,0,0,0,12.94661685,225,97.4,714.7,5.5,2730.3
0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,0,0,13.38167152,214,88.2,631.1,5.4,2689.8
0,0,20,20,30,0,0,20,10,0,0,0,0,0,0,0,0,12.94661685,203,79,483.3,5.3,2649.3
0,0,20,30,10,0,0,20,20,0,0,0,0,0,0,0,0,12.94661685,211,85.1,714.7,5.4,2635.8
0,0,20,30,20,0,0,20,10,0,0,0,0,0,0,0,0,12.94661685,200,75.9,445.6,5.3,2595.3
0,0,20,40,10,0,0,20,10,0,0,0,0,0,0,0,0,12.22903708,197,72.8,421.1,5.3,2541.3
0,0,30,10,10,0,0,20,30,0,0,0,0,0,0,0,0,12.51156218,231,106.2,584.2,5.6,2744.9
0,0,30,10,20,0,0,20,20,0,0,0,0,0,0,0,0,12.94661685,220,97,770.8,5.5,2704.4
0,0,30,20,10,0,0,20,20,0,0,0,0,0,0,0,0,12.94661685,217,93.9,731.1,5.5,2650.4
0,0,30,20,20,0,0,20,10,0,0,0,0,0,0,0,0,12.94661685,206,84.7,863.6,5.4,2609.9
0,0,40,10,10,0,0,20,20,0,0,0,0,0,0,0,0,12.22903708,223,102.7,481.2,5.6,2665
0,0,40,10,20,0,0,20,10,0,0,0,0,0,0,0,0,12.22903708,212,93.5,633.2,5.5,2624.5
0,0,40,20,10,0,0,20,10,0,0,0,0,0,0,0,0,12.22903708,209,90.4,573,5.5,2570.5
0,0,10,10,20,0,0,30,30,0,0,0,0,0,0,0,0,12.51156218,221,92.6,808.6,5.4,2713
0,0,10,20,10,0,0,30,30,0,0,0,0,0,0,0,0,12.51156218,218,89.5,804.6,5.4,2659
0,0,10,20,20,0,0,30,20,0,0,0,0,0,0,0,0,12.94661685,207,80.3,337.5,5.3,2618.5
0,0,10,20,30,0,0,30,10,0,0,0,0,0,0,0,0,12.51156218,196,71.1,343.6,5.2,2578
0,0,20,10,10,0,0,30,30,0,0,0,0,0,0,0,0,12.51156218,224,98.3,385.4,5.5,2673.6
0,0,20,10,20,0,0,30,20,0,0,0,0,0,0,0,0,12.94661685,213,89.1,711.7,5.4,2633.1
0,0,20,10,30,0,0,30,10,0,0,0,0,0,0,0,0,12.51156218,202,79.9,373.2,5.3,2592.6
0,0,20,20,10,0,0,30,20,0,0,0,0,0,0,0,0,12.94661685,210,86,694.4,5.4,2579.1
0,0,20,20,20,0,0,30,10,0,0,0,0,0,0,0,0,12.94661685,199,76.8,335.4,5.3,2538.6
0,0,20,30,10,0,0,30,10,0,0,0,0,0,0,0,0,12.51156218,196,73.7,437.4,5.3,2484.6
0,0,30,10,10,0,0,30,20,0,0,0,0,0,0,0,0,12.51156218,216,94.8,520,5.5,2593.7
0,0,30,10,20,0,0,30,10,0,0,0,0,0,0,0,0,12.51156218,205,85.6,604.6,5.4,2553.2
0,0,30,20,10,0,0,30,10,0,0,0,0,0,0,0,0,12.51156218,202,82.5,498.6,5.4,2499.2
0,0,40,10,10,0,0,30,10,0,0,0,0,0,0,0,0,11.79398241,208,91.3,380.3,5.5,2513.8
