Entropy,bulk Modulus,shear Modulus,Valence,Melting Point,Hardness
12.92528334,253,114.85,5.8,2910.1,1098.1
12.51156218,265,119.2,5.9,2975.4,1115.5
11.85357536,270.5,118.95,5.9,3023.25,1085.9
12.04773042,277,128,5.9,3114.35,1210
11.4305784,281,129.75,5.9,3154.3,1220
12.04773042,253.5,113.25,5.9,2819.55,1067
11.4305784,249.5,111.5,5.9,2779.6,1056
13.38167,236,111.2,5.6,2561.8,1120.247639
13.38167,244,115.6,5.6,2783.2,1158.634946
13.38167,168,90.6,5.4,2337.6,926.5781862
13.38167,254,116.2,5.8,2831.6,1117.534714
13.38167,174,102,5.6,2258.8,1114.941137
13.38167,242,98.6,5.6,2802.4,872.080326
13.38167,230,99.8,5.4,2640.6,944.8501822
13.38167,190,109,5.6,2418.6,1157.444589
13.38167,226,91.6,5.6,2642.6,822.8629449
13.38167,232,98,5.4,2754,904.6986096
13.38167,198,83.2,5.2,2437.4,800.8863056
13.38167,214,92.8,5.4,2480.8,896.803321
13.38167,238,109.4,5.6,2675.2,1076.640248
13.38167,208,86.6,5.4,2372.8,815.3313677
13.38167,224,93.6,5.4,2532.6,865.0149156
13.38167,214,90,5.4,2593.8,847.5173969
13.38167,198,113.4,5.6,2640,1195.991762
13.38167,216,91,5.4,2594.2,855.872566
13.38167,182,106.4,5.6,2480.2,1154.193158
13.38167,232,95.2,5.4,2867,857.5846185
13.38167,204,124.8,5.8,2561.2,1386.010801
13.38167,180,89.4,5.6,2499.4,846.1074136
13.38167,256,114.4,5.8,2945,1076.164909
13.38167,208,83.8,5.4,2485.8,767.3594655
13.38167,192,71.8,5,2516.2,631.9573287
13.38167,202,107.8,5.8,2580.4,1068.156373
13.38167,216,88.2,5.4,2707.2,807.917986
13.38167,192,107.2,5.6,2532,1111.03831
13.38167,208,114,5.8,2688.4,1150.643851
13.38167,162,84.4,5.4,2229.6,841.6332782
13.38167,190,73.6,5,2402.8,669.4195249
13.38167,170,88.8,5.4,2451,882.8543615
13.38167,176,100.2,5.6,2372.2,1067.12326
13.38167,214,125.4,6,2609.6,1333.881933
13.38167,186,100.8,5.8,2420.6,1022.848472
13.38167,184,67.4,5,2294.8,590.2436131
13.38167,210,112.2,5.8,2801.8,1106.854161
13.38167,202,72.4,5.2,2564.6,605.7379726
13.38167,204,87.6,5.2,2641.4,851.3776157
13.38167,194,105.2,5.8,2642,1062.305419
13.38167,202,89.4,5.2,2528,893.8916226
13.38167,180,103.6,5.6,2575.8,1110.571507
13.38167,162,98.6,5.4,2306,1121.305605
13.38167,196,83.2,5.2,2420,810.1846971
13.38167,222,129.8,6,2831,1370.716131
13.38167,174,97.4,5.6,2467.8,1023.943275
13.38167,182,101.8,5.6,2689.2,1063.814345
13.38167,192,86,5,2592.6,881.6329185
13.38167,152,79,5.4,2386.8,791.1808569
13.38167,216,123.6,6,2723,1286.868497
13.38167,204,84.8,5.2,2754.4,801.8488286
13.38167,162,63.2,4.8,2290.2,605.8374139
13.38167,202,86.6,5.2,2641,842.9225179
13.38167,190,71.8,5,2498.8,639.5262973
13.38167,156,57,4.8,2182.2,522.7067308
13.38167,142,75.6,5.2,2451.4,777.3558469
13.38167,180,68.4,4.8,2563.4,621.8495457
13.38167,158,85.4,5.2,2498.2,880.7417407
13.38167,152,79,5.4,2386.8,791.1808569
13.38167,178,70.2,4.8,2450,660.717913
13.38167,172,64,4.8,2342,579.2390864
13.38167,190,69,5,2611.8,594.2721531
11.52373881,132.649,86.9416,4.2529,1598.5545,133
12.32163759,174.7488,107.3792,3.9636,1671.2496,287
12.77116744,155.266,111.8468,4.2016,1719.2224,335
12.7354757,155.7918,110.5363,4.1883,1710.8747,253
12.58874946,163.0464,107.5164,4.0876,1685.0978,207
12.64947088,150.635,107.8107,4.2187,1700.7349,185
